rna0;XM_005088767.1
rna6814;XM_005094701.1
rna6815;XM_005094703.2
rna6816;XM_005094704.2
rna6817;XM_013080474.1
rna6818;XM_005094705.2
rna6819;XM_013080481.1
rna6820;XM_005094707.2
rna6821;XM_005094706.2
rna6822;XM_013080476.1
rna6823;XM_013080480.1
rna6824;XM_013080473.1
rna6825;XM_005094708.2
rna6826;XM_005094709.2
rna6827;XM_013080478.1
rna6828;XM_005094710.2
rna6831;XM_013080479.1
rna6832;XM_005094711.2
rna6833;XM_005094717.2
rna6834;XM_005094714.2
rna6835;XM_005094715.2
rna6837;XM_005094716.2
rna6838;XM_013080475.1
rna6839;XM_013080484.1
rna6841;XM_005094750.1
rna6842;XM_005094720.2
rna6843;XM_005094721.1
rna6844;XM_005094722.2
rna6845;XM_005094723.2
rna6846;XM_013080470.1
rna6847;XM_005094752.2
rna6848;XM_005094724.2
rna6849;XM_013080477.1
rna6850;XM_005094727.2
rna6851;XM_005094754.1
rna6852;XM_013080485.1
rna6853;XM_005094729.2
rna6854;XM_005094730.2
rna6855;XM_005094728.2
rna6856;XM_005094731.2
rna6857;XM_005094733.2
rna6858;XM_005094734.2
rna6859;XM_013080486.1
rna6860;XM_005094736.2
rna6861;XM_005094737.2
rna6862;XM_005094738.2
rna6863;XM_005094739.2
rna6864;XM_013080487.1
rna6865;XM_013080488.1
rna6866;XM_005094740.2
rna6867;XM_005094741.2
rna6868;XM_005094742.2
rna6869;XM_005094743.2
rna6870;XM_013080471.1
rna6871;XM_013080493.1
rna6872;XM_013080489.1
rna6873;XM_005094756.2
rna6874;XM_005094757.2
rna6875;XM_005094758.2
rna6876;XM_013080491.1
rna6877;XM_005094759.2
rna6878;XM_005094761.2
rna6879;XM_005094760.2
rna6880;XM_005094762.2
rna6881;XM_005094763.2
rna6882;XM_005094764.2
rna6883;XM_005094765.2
rna6884;XM_005094767.2
rna6885;XM_005094766.2
rna6886;XM_005094768.2
rna6887;XM_005094770.2
rna6888;XM_013080495.1
rna6889;XM_005094771.2
rna6890;XM_005094776.2
rna6891;XM_005094775.2
rna6892;XM_005094774.2
rna6893;XM_013080496.1
rna6894;XM_005094780.2
rna6895;XM_005094778.2
rna6896;XM_013080497.1
rna6898;XM_013080499.1
rna6899;XM_013080498.1
rna6900;XM_005094816.2
rna6901;XM_005094783.2
rna6902;XM_005094784.2
rna6903;XM_013080500.1
rna6904;XM_013080501.1
rna6905;XM_005094787.2
rna6906;XM_005094788.2
rna6907;XM_005094789.2
rna6908;XM_013080503.1
rna6909;XM_013080502.1
rna6910;XM_005094791.2
rna6911;XM_005094790.2
rna6912;XM_005094793.2
rna6913;XM_005094817.1
rna6914;XM_005094796.2
rna6915;XM_013080506.1
rna6916;XM_005094795.2
rna6917;XM_005094797.2
rna6918;XM_005094798.2
rna6919;XM_013080507.1
rna6920;XM_005094799.2
rna6921;XM_005094802.2
rna6922;XM_013080505.1
rna6923;XM_013080504.1
rna6925;XM_005094804.2
rna6926;XM_005094821.1
rna6927;XM_005094805.2
rna6928;XM_005094822.2
rna6929;XM_013080492.1
rna6930;XM_005094823.2
rna6931;XM_013080509.1
rna6932;XM_013080510.1
rna6933;XM_013080511.1
rna6934;XM_005094806.2
rna6935;XM_005094807.2
rna6936;XM_005094808.2
rna6937;XM_013080512.1
rna6938;XM_005094809.2
rna6939;XM_005094810.2
rna6940;XM_005094811.2
rna6941;XM_013080513.1
rna6942;XM_005094813.2
rna6943;XM_013080514.1
rna6944;XM_005094812.2
rna6945;XM_005094827.2
rna6946;XM_005094829.2
rna6947;XM_005094828.2
rna6948;XM_005094830.2
rna6949;XM_013080526.1
rna6950;XM_013080515.1
rna6951;XM_013080516.1
rna6952;NM_001204484.1
rna6953;XM_013080533.1
rna6954;XM_005094835.2
rna6955;XM_005094834.2
rna6956;XM_005094833.2
rna6957;XM_005094832.2
rna6958;XM_005094836.2
rna6959;XM_005094831.2
rna6960;XM_013080531.1
rna6961;XM_013080532.1
rna6962;XM_013080534.1
rna6963;XM_005094837.2
rna6964;XM_013080517.1
rna6965;XM_005094870.2
rna6966;XM_005094871.2
rna6967;XM_013080536.1
rna6968;XM_013080537.1
rna6969;XM_013080535.1
rna6970;XM_005094838.2
rna6971;XM_013080538.1
rna6972;XM_013080539.1
rna6973;XM_013080518.1
rna6974;XM_013080519.1
rna6975;XM_005094839.2
rna6976;XM_013080520.1
rna6977;XM_013080521.1
rna6978;XM_013080522.1
rna6979;XM_005094841.2
rna6980;XM_013080541.1
rna6981;XM_005094842.2
rna6982;XM_005094846.2
rna6983;XM_005094845.2
rna6984;XM_005094847.2
rna6985;XM_005094848.2
rna6986;XM_005094849.2
rna6987;XM_005094850.2
rna6988;XM_005094878.1
rna6989;XM_013080523.1
rna6990;XM_005094853.2
rna6991;XM_013080543.1
rna6992;XM_013080544.1
rna6993;XM_005094855.2
rna6994;XM_013080545.1
rna6995;XM_005094857.2
rna6996;XM_005094858.2
rna6997;XM_013080546.1
rna6998;XM_013080548.1
rna6999;XM_005094859.2
rna7000;XM_005094881.2
rna7001;XM_013080528.1
rna7002;XM_013080550.1
rna7003;XM_013080549.1
rna7004;XM_013080529.1
rna7005;XM_005094863.2
rna7006;XM_005094862.2
rna7007;XM_013080524.1
rna7008;XM_013080525.1
rna7009;XM_013080556.1
rna7010;XM_005094886.2
rna7011;XM_005094885.2
rna7012;XM_005094884.2
rna7013;XM_013080560.1
rna7014;XM_005094887.2
rna7015;XM_013080557.1
rna7017;XM_013080561.1
rna7018;XM_013080551.1
rna7019;XM_005094888.2
rna7020;XM_005094889.2
rna7021;XM_013080552.1
rna7022;XM_013080562.1
rna7023;XM_005094891.2
rna7024;XM_005094929.2
rna7025;XM_005094892.1
rna7026;XM_013080558.1
rna7027;XM_005094893.2
rna7028;XM_005094894.2
rna7029;XM_005094895.2
rna7031;XM_005094896.2
rna7032;XM_005094897.2
rna7033;XM_005094899.2
rna7034;XM_005094898.2
rna7035;XM_013080563.1
rna7036;XM_005094900.2
rna7037;XM_005094901.2
rna7038;XM_005094902.2
rna7039;XM_005094903.2
rna7040;XM_005094904.2
rna7041;XM_013080553.1
rna7042;XM_005094906.2
rna7043;XM_013080564.1
rna7044;XM_005094908.2
rna7045;XM_005094907.2
rna7046;XM_013080566.1
rna7047;XM_005094911.2
rna7048;XM_013080565.1
rna7049;XM_005094910.2
rna7050;XM_005094909.2
rna7051;XM_005094912.2
rna7052;XM_005094913.1
rna7053;XM_005094914.1
rna7054;XM_005094915.2
rna7055;XM_013080568.1
rna7056;XM_005094916.2
rna7057;XM_005094917.2
rna7058;XM_013080569.1
rna7059;XM_013080570.1
rna7060;XM_005094919.2
rna7061;XM_013080571.1
rna7063;XM_013080554.1
rna7065;XM_005094922.2
rna7066;XM_013080572.1
rna7067;XM_013080573.1
rna7068;XM_005094923.2
rna7069;XM_013080559.1
rna7070;XM_013080555.1
rna7071;XM_013080574.1
rna7072;XM_013080575.1
rna7073;XM_005094939.2
rna7074;XM_013080585.1
rna7076;XM_013080584.1
rna7077;XM_005094940.2
rna7078;XM_005094942.2
rna7079;XM_013080586.1
rna7080;XM_013080587.1
rna7081;XM_013080588.1
rna7082;XM_013080589.1
rna7083;XM_005094971.2
rna7084;XM_005094945.2
rna7085;XM_005094946.2
rna7086;XM_013080577.1
rna7087;XM_013080590.1
rna7088;XM_013080591.1
rna7089;XM_005094948.2
rna7090;XM_005094947.2
rna7091;XM_005094949.2
rna7092;XM_013080592.1
rna7093;XM_005094950.2
rna7094;XM_013080576.1
rna7095;NM_001204533.1
rna7096;XM_005094951.2
rna7097;XM_013080593.1
rna7098;XM_005094973.2
rna7099;XM_013080595.1
rna7100;XM_013080578.1
rna7101;XM_013080581.1
rna7103;XM_005094976.1
rna7104;XM_013080579.1
rna7105;XM_005094952.2
rna7106;XM_005094955.2
rna7107;XM_005094953.2
rna7108;XM_005094954.2
rna7109;XM_005094957.2
rna7110;XM_005094956.2
rna7111;XM_005094959.2
rna7112;XM_013080597.1
rna7113;XM_005094960.2
rna7114;XM_013080596.1
rna7115;XM_005094962.2
rna7116;XM_005094963.2
rna7119;XM_005094964.2
rna7120;XM_005094965.2
rna7121;XM_005094966.1
rna7122;XM_013080580.1
rna7123;XM_013080602.1
rna7124;XM_013080600.1
rna7125;XM_013080601.1
rna7126;XM_013080603.1
rna7127;XM_013080599.1
rna7128;XM_013080605.1
rna7129;XM_005094967.2
rna7130;XM_005094980.2
rna7131;XM_013080582.1
rna7132;XM_013080583.1
rna7133;XM_005094986.2
rna7134;XM_005094968.1
rna7135;XM_013080606.1
rna7136;XM_005094987.2
rna7137;XM_013080613.1
rna7138;XM_013080615.1
rna7139;XM_013080614.1
rna7140;XM_013080616.1
rna7141;XM_005094988.2
rna7142;XM_005094989.2
rna7143;XM_013080617.1
rna7144;XM_013080619.1
rna7145;XM_013080618.1
rna7146;XM_013080620.1
rna7147;XM_005094990.2
rna7148;XM_005094991.2
rna7149;XM_013080621.1
rna7150;XM_005095017.2
rna7151;XM_013080622.1
rna7152;XM_005094992.2
rna7153;XM_005094994.1
rna7154;XM_005094993.2
rna7155;XM_005095018.2
rna7156;XM_005095019.1
rna7157;XM_005095020.2
rna7158;XM_013080607.1
rna7159;XM_013080623.1
rna7160;XM_005095023.2
rna7161;XM_005094997.2
rna7162;XM_013080627.1
rna7163;XM_013080624.1
rna7164;XM_013080625.1
rna7165;XM_013080626.1
rna7166;XM_005094998.2
rna7167;XM_013080628.1
rna7168;XM_013080629.1
rna7169;XM_005094999.2
rna7170;XM_005095000.2
rna7171;XM_005095001.2
rna7172;XM_005095003.2
rna7173;XM_005095005.2
rna7174;XM_005095006.2
rna7175;XM_005095004.2
rna7176;XM_013080630.1
rna7177;XM_005095007.2
rna7178;XM_013080631.1
rna7179;XM_013080609.1
rna7180;XM_013080611.1
rna7181;XM_013080635.1
rna7182;XM_013080634.1
rna7183;XM_005095008.2
rna7184;XM_005095009.2
rna7185;XM_013080633.1
rna7186;XM_013080632.1
rna7187;XM_005095010.1
rna7188;XM_013080612.1
rna7189;XM_013080636.1
rna7190;XM_013080637.1
rna7191;XM_005095011.2
rna7192;XM_005095013.2
rna7193;XM_005095029.2
rna7194;XM_013080648.1
rna7195;XM_005095061.2
rna7196;XM_005095031.2
rna7197;XM_005095030.2
rna7198;XM_005095032.2
rna7199;XM_013080644.1
rna7200;XM_005095033.2
rna7201;XM_013080650.1
rna7202;XM_013080651.1
rna7203;XM_013080638.1
rna7204;XM_013080645.1
rna7205;XM_005095064.2
rna7206;XM_005095065.2
rna7208;XM_013080646.1
rna7209;XM_013080652.1
rna7210;XM_013080639.1
rna7211;XM_013080653.1
rna7212;XM_005095034.2
rna7213;XM_005095035.2
rna7214;XM_013080640.1
rna7215;XM_013080654.1
rna7216;XM_013080641.1
rna7217;XM_013080642.1
rna7218;XM_013080643.1
rna7219;XM_013080658.1
rna7220;XM_013080659.1
rna7221;XM_013080655.1
rna7222;XM_013080656.1
rna7223;XM_013080657.1
rna7224;XM_013080661.1
rna7225;XM_013080662.1
rna7226;XM_013080660.1
rna7227;XM_005095074.1
rna7228;XM_005095046.2
rna7229;XM_013080647.1
rna7230;XM_005095047.2
rna7231;XM_005095048.2
rna7232;XM_005095050.2
rna7233;XM_013080663.1
rna7235;XM_013080664.1
rna7236;XM_005095054.2
rna7237;XM_005095053.2
rna7238;XM_013080665.1
rna7239;XM_005095055.2
rna7240;XM_005095057.2
rna7241;XM_013080666.1
rna7242;XM_005095060.2
rna7243;XM_005095076.2
rna7244;XM_005095077.1
rna7245;XM_005095079.2
rna7246;XM_005095078.2
rna7247;XM_005095080.2
rna7249;XM_005095081.2
rna7250;XM_013080667.1
rna7251;XM_005095082.2
rna7252;XM_005095084.2
rna7253;XM_013080672.1
rna7254;XM_013080668.1
rna7255;XM_005095085.2
rna7256;XM_013080673.1
rna7257;XM_005095086.2
rna7258;XM_013080674.1
rna7259;XM_005095087.2
rna7260;XM_013080670.1
rna7261;XM_005095088.2
rna7262;XM_005095102.1
rna7263;XM_005095103.2
rna7264;XM_005095090.2
rna7265;XM_005095089.2
rna7266;XM_013080675.1
rna7267;XM_005095091.2
rna7268;XM_013080676.1
rna7269;XM_013080677.1
rna7270;XM_005095092.2
rna7271;XM_005095094.2
rna7272;XM_013080678.1
rna7274;XM_013080669.1
rna7275;XM_013080693.1
rna7276;XM_005095108.2
rna7277;XM_013080694.1
rna7278;XM_013080697.1
rna7279;XM_005095110.2
rna7280;XM_005095111.2
rna7281;XM_013080681.1
rna7282;XM_005095153.1
rna7283;XM_005095112.2
rna7284;XM_013080700.1
rna7285;XM_013080699.1
rna7286;XM_013080698.1
rna7287;XM_013080701.1
rna7288;XM_005095115.2
rna7289;XM_005095120.1
rna7290;XM_005095119.2
rna7291;XM_005095117.2
rna7292;XM_005095121.2
rna7293;XM_005095122.2
rna7294;XM_005095123.2
rna7295;XM_005095124.2
rna7296;XM_005095125.2
rna7297;XM_013080703.1
rna7298;XM_005095126.2
rna7299;XM_013080682.1
rna7300;XM_005095129.2
rna7301;XM_005095130.2
rna7302;XM_005095133.2
rna7303;XM_005095132.2
rna7304;XM_013080704.1
rna7305;XM_013080683.1
rna7306;XM_005095135.2
rna7307;XM_013080705.1
rna7308;XM_013080706.1
rna7309;XM_005095137.2
rna7310;XM_005095138.2
rna7311;XM_013080707.1
rna7312;XM_013080708.1
rna7313;XM_013080709.1
rna7314;XM_005095139.2
rna7315;XM_013080710.1
rna7316;XM_013080711.1
rna7317;XM_013080712.1
rna7318;XM_005095143.2
rna7319;XM_005095160.1
rna7320;XM_005095161.1
rna7321;XM_013080684.1
rna7322;XM_013080685.1
rna7323;XM_013080686.1
rna7324;XM_013080688.1
rna7325;XM_013080680.1
rna7326;XM_013080679.1
rna7327;NM_001204725.1
rna7328;XM_005095147.2
rna7329;XM_013080714.1
rna7330;XM_005095148.2
rna7331;XM_013080713.1
rna7332;XM_013080715.1
rna7333;XM_013080695.1
rna7334;XM_013080689.1
rna7335;XM_013080690.1
rna7336;XM_013080716.1
rna7337;XM_013080691.1
rna7338;XM_013080696.1
rna7339;XM_005095149.2
rna7340;XM_005095150.2
rna7341;XM_013080692.1
rna7342;XM_005095151.2
rna7343;NM_001204598.1
rna7344;NM_001204633.1
rna7345;XM_013080717.1
rna7346;XM_005095165.2
rna7347;XM_005095166.2
rna7348;XM_013080724.1
rna7349;XM_013080726.1
rna7350;XM_013080725.1
rna7351;XM_013080727.1
rna7352;XM_013080728.1
rna7353;XM_013080729.1
rna7354;XM_013080718.1
rna7355;XM_013080719.1
rna7356;XM_013080722.1
rna7357;XM_005095184.2
rna7358;XM_005095169.2
rna7359;XM_013080731.1
rna7360;XM_013080730.1
rna7361;XM_005095186.2
rna7362;XM_005095170.2
rna7363;XM_005095171.2
rna7364;XM_013080732.1
rna7365;XM_013080733.1
rna7366;XM_005095172.2
rna7367;XM_013080720.1
rna7368;XM_013080734.1
rna7369;XM_005095191.1
rna7370;XM_005095173.2
rna7371;XM_005095174.1
rna7372;XM_005095175.2
rna7373;XM_013080735.1
rna7374;XM_013080736.1
rna7375;XM_005095176.2
rna7376;XM_005095192.1
rna7377;XM_005095177.2
rna7378;XM_013080721.1
rna7379;XM_013080737.1
rna7380;XM_005095194.2
rna7381;XM_013080738.1
rna7382;XM_005095196.1
rna7383;XM_013080747.1
rna7384;XM_013080739.1
rna7385;XM_005095197.2
rna7386;XM_005095199.2
rna7387;XM_013080751.1
rna7388;XM_013080750.1
rna7389;XM_013080752.1
rna7390;XM_005095202.2
rna7391;XM_005095231.1
rna7392;XM_013080741.1
rna7393;XM_005095232.2
rna7394;XM_013080753.1
rna7395;XM_005095203.2
rna7396;XM_005095204.2
rna7397;XM_013080754.1
rna7398;XM_013080755.1
rna7399;XM_013080756.1
rna7400;XM_005095205.2
rna7401;XM_005095210.2
rna7402;XM_013080757.1
rna7403;XM_013080758.1
rna7404;XM_005095239.2
rna7405;XM_005095240.1
rna7406;XM_013080742.1
rna7407;XM_013080743.1
rna7408;XM_013080744.1
rna7409;XM_013080759.1
rna7410;XM_013080760.1
rna7411;XM_013080745.1
rna7412;XM_005095243.1
rna7413;XM_005095244.2
rna7414;XM_013080761.1
rna7415;XM_013080762.1
rna7416;XM_013080763.1
rna7417;XM_005095215.2
rna7418;XM_013080765.1
rna7419;XM_005095216.2
rna7420;XM_005095217.2
rna7421;XM_013080766.1
rna7422;XM_013080768.1
rna7423;XM_013080767.1
rna7424;XM_005095219.2
rna7425;XM_005095220.2
rna7426;XM_005095221.2
rna7427;XM_013080769.1
rna7428;XM_005095248.2
rna7429;XM_005095225.1
rna7430;XM_005095224.1
rna7431;XM_005095226.2
rna7432;XM_013080771.1
rna7433;XM_013080748.1
rna7434;XM_013080772.1
rna7435;XM_005095251.2
rna7436;XM_013080746.1
rna7437;XM_005095228.2
rna7438;XM_013080773.1
rna7439;XM_005095227.2
rna7441;XM_005095254.2
rna7442;XM_013080749.1
rna7443;XM_013080782.1
rna7444;XM_013080784.1
rna7445;XM_013080783.1
rna7447;XM_013080785.1
rna7448;XM_005095256.2
rna7449;XM_005095257.2
rna7450;XM_005095255.2
rna7451;XM_013080780.1
rna7452;XM_013080786.1
rna7458;XM_005095260.1
rna7459;XM_005095263.2
rna7460;XM_005095258.2
rna7461;XM_005095259.2
rna7462;XM_013080787.1
rna7463;XM_005095262.1
rna7464;XM_013080788.1
rna7465;XM_005095266.2
rna7466;XM_005095265.2
rna7467;XM_013080789.1
rna7468;XM_005095267.2
rna7469;XM_005095268.2
rna7470;XM_005095287.1
rna7471;XM_013080781.1
rna7472;XM_013080774.1
rna7473;XM_013080790.1
rna7474;XM_013080775.1
rna7475;XM_013080776.1
rna7476;XM_005095271.2
rna7477;XM_005095272.2
rna7478;XM_005095273.2
rna7479;XM_013080791.1
rna7480;XM_013080777.1
rna7481;XM_005095274.2
rna7482;XM_013080778.1
rna7483;XM_005095275.2
rna7484;XM_005095276.2
rna7485;XM_013080792.1
rna7486;XM_013080793.1
rna7487;XM_005095281.2
rna7488;XM_005095280.2
rna7489;XM_005095277.2
rna7490;XM_005095278.2
rna7491;XM_013080779.1
rna7492;XM_013080795.1
rna7493;XM_013080799.1
rna7494;XM_005095322.2
rna7495;XM_013080796.1
rna7496;XM_013080800.1
rna7497;XM_005095292.2
rna7498;XM_005095291.2
rna7499;XM_005095293.1
rna7500;XM_005095298.2
rna7501;XM_005095297.2
rna7502;XM_013080801.1
rna7503;XM_005095295.2
rna7504;XM_005095296.2
rna7505;XM_005095299.2
rna7506;XM_005095300.2
rna7507;XM_005095301.2
rna7508;XM_013080803.1
rna7509;XM_005095302.2
rna7510;XM_013080797.1
rna7511;XM_005095303.2
rna7513;XM_005095304.2
rna7514;XM_005095305.2
rna7515;XM_013080798.1
rna7521;XM_005095326.1
rna7522;XM_005095307.2
rna7523;XM_005095306.2
rna7524;XM_005095309.2
rna7525;XM_013080806.1
rna7526;XM_005095308.2
rna7527;XM_013080804.1
rna7528;XM_013080805.1
rna7529;XM_013080809.1
rna7530;XM_013080811.1
rna7531;XM_013080808.1
rna7532;XM_013080807.1
rna7533;XM_005095312.2
rna7534;XM_005095317.2
rna7535;XM_005095314.2
rna7536;XM_005095318.2
rna7537;XM_005095316.2
rna7538;XM_005095319.2
rna7539;XM_013080813.1
rna7540;XM_013080812.1
rna7541;XM_013080814.1
rna7542;XM_013080818.1
rna7543;XM_005095336.2
rna7544;XM_005095337.1
rna7545;XM_013080819.1
rna7547;XM_005095330.2
rna7548;XM_005095331.2
rna7549;XM_013080821.1
rna7550;XM_013080815.1
rna7551;NM_001204582.1
rna7552;XM_005095332.2
rna7553;XM_005095334.2
rna7554;XM_013080822.1
rna7555;XM_005095341.2
rna7556;XM_013080816.1
rna7557;XM_005095343.1
rna7559;XM_005095344.2
rna7560;XM_013080817.1
rna7561;XM_013080824.1
rna7562;XM_013080825.1
rna7563;XM_005095347.2
rna7564;XM_005095348.2
rna7565;XM_013080834.1
rna7566;XM_013080835.1
rna7567;XM_005095351.2
rna7568;XM_005095352.2
rna7569;XM_013080826.1
rna7570;XM_013080836.1
rna7571;XM_013080827.1
rna7572;XM_005095378.1
rna7573;XM_005095354.1
rna7574;XM_005095355.2
rna7575;XM_005095356.2
rna7576;XM_013080837.1
rna7577;XM_013080828.1
rna7578;XM_013080838.1
rna7579;XM_005095358.2
rna7580;XM_005095357.2
rna7581;XM_013080840.1
rna7582;XM_013080839.1
rna7583;XM_013080829.1
rna7584;XM_013080841.1
rna7585;XM_005095384.2
rna7586;XM_013080842.1
rna7587;XM_013080843.1
rna7588;XM_005095362.1
rna7589;XM_005095363.2
rna7590;XM_005095365.2
rna7591;XM_005095366.2
rna7592;XM_013080845.1
rna7593;XM_013080844.1
rna7595;XM_005095370.2
rna7596;XM_013080846.1
rna7597;XM_013080830.1
rna7598;XM_013080833.1
rna7599;XM_013080832.1
rna7600;XM_005095372.2
rna7601;XM_013080860.1
rna7602;XM_013080858.1
rna7603;XM_013080862.1
rna7605;XM_005095390.2
rna7606;XM_005095391.2
rna7607;XM_013080847.1
rna7608;NM_001204564.1
rna7609;XM_013080863.1
rna7610;XM_013080848.1
rna7611;XM_013080849.1
rna7612;XM_005095392.2
rna7613;XM_013080864.1
rna7614;XM_013080865.1
rna7616;XM_013080866.1
rna7617;XM_013080851.1
rna7618;XM_013080852.1
rna7620;XM_013080867.1
rna7621;XM_005095406.2
rna7622;XM_005095393.2
rna7623;XM_005095394.2
rna7624;XM_005095395.2
rna7625;XM_005095396.1
rna7626;XM_013080853.1
rna7627;XM_005095408.1
rna7628;XM_013080861.1
rna7629;XM_005095410.2
rna7630;XM_013080868.1
rna7631;XM_005095397.2
rna7632;XM_013080854.1
rna7633;XM_013080869.1
rna7634;XM_013080855.1
rna7635;XM_013080856.1
rna7636;XM_013080870.1
rna7637;XM_013080857.1
rna7639;XM_005095399.2
rna7640;XM_013080871.1
rna7641;XM_005095470.2
rna7642;XM_013080879.1
rna7643;XM_005095472.1
rna7644;XM_005095473.1
rna7645;XM_013080880.1
rna7646;XM_013080872.1
rna7647;XM_005095422.2
rna7648;XM_005095426.2
rna7649;XM_013080883.1
rna7650;XM_013080882.1
rna7653;XM_005095430.2
rna7654;XM_013080884.1
rna7655;XM_005095431.2
rna7656;XM_013080885.1
rna7657;XM_013080886.1
rna7658;XM_005095433.2
rna7659;XM_005095435.2
rna7660;XM_005095436.2
rna7661;XM_013080889.1
rna7662;XM_013080888.1
rna7663;XM_005095437.2
rna7664;XM_005095439.2
rna7666;XM_005095441.2
rna7667;XM_005095444.2
rna7668;XM_005095443.2
rna7669;XM_005095446.2
rna7670;XM_005095445.2
rna7671;XM_005095447.2
rna7672;XM_005095449.2
rna7673;XM_005095450.2
rna7674;XM_005095448.2
rna7675;XM_005095451.2
rna7676;XM_005095452.2
rna7677;XM_005095453.2
rna7678;XM_005095454.2
rna7679;XM_013080890.1
rna7680;XM_005095456.2
rna7681;XM_013080891.1
rna7682;XM_005095458.2
rna7683;XM_005095459.2
rna7684;XM_013080894.1
rna7685;XM_013080893.1
rna7686;XM_013080892.1
rna7687;XM_005095481.1
rna7688;XM_005095482.2
rna7689;XM_005095462.2
rna7691;XM_005095463.2
rna7692;XM_005095464.2
rna7693;XM_005095465.2
rna7694;XM_013080873.1
rna7696;XM_005095467.2
rna7697;XM_005095468.2
rna7699;XM_013080876.1
rna7700;XM_013080877.1
rna7701;XM_013080874.1
rna7702;XM_013080878.1
rna7703;XM_005095469.2
rna7704;XM_013080895.1
rna7705;XM_013080896.1
rna7706;XM_013080875.1
rna7707;XM_013080905.1
rna7708;XM_005095492.2
rna7709;XM_005095491.2
rna7710;XM_005095489.2
rna7711;XM_005095490.2
rna7712;XM_013080907.1
rna7713;XM_013080897.1
rna7714;XM_005095497.2
rna7715;XM_005095493.2
rna7716;XM_013080910.1
rna7717;XM_013080908.1
rna7718;XM_005095495.2
rna7719;XM_013080909.1
rna7720;XM_005095496.2
rna7721;XM_005095498.2
rna7722;XM_013080911.1
rna7723;XM_013080912.1
rna7724;XM_005095499.1
rna7725;XM_005095519.2
rna7726;XM_013080913.1
rna7727;XM_013080898.1
rna7728;XM_005095500.2
rna7729;XM_013080914.1
rna7730;NM_001204619.1
rna7731;XM_013080899.1
rna7734;XM_013080900.1
rna7735;XM_013080902.1
rna7736;XM_013080915.1
rna7737;XM_013080916.1
rna7738;XM_005095502.2
rna7739;XM_005095503.2
rna7740;XM_005095504.2
rna7741;XM_013080917.1
rna7742;XM_013080919.1
rna7743;XM_013080920.1
rna7744;XM_013080918.1
rna7745;XM_005095505.2
rna7746;XM_005095506.2
rna7747;XM_005095507.2
rna7748;XM_005095508.2
rna7749;XM_005095509.2
rna7750;XM_005095510.2
rna7751;XM_005095513.2
rna7752;XM_005095512.2
rna7753;XM_005095511.2
rna7754;XM_005095514.2
rna7755;XM_013080922.1
rna7756;XM_013080901.1
rna7757;XM_005095529.1
rna7758;XM_013080903.1
rna7759;XM_005095515.2
rna7760;XM_005095516.2
rna7761;XM_013080904.1
rna7762;XM_005095532.2
rna7763;XM_005095535.2
rna7764;XM_005095537.2
rna7765;XM_013080928.1
rna7766;XM_005095538.2
rna7767;XM_013080929.1
rna7768;XM_013080930.1
rna7769;XM_013080931.1
rna7770;XM_005095540.2
rna7771;XM_013080932.1
rna7772;XM_005095554.1
rna7773;XM_005095555.2
rna7774;XM_013080933.1
rna7775;XM_005095541.2
rna7776;XM_005095542.2
rna7777;XM_005095543.2
rna7778;XM_013080934.1
rna7779;XM_013080925.1
rna7780;XM_013080924.1
rna7781;XM_013080926.1
rna7782;XM_013080927.1
rna7783;NM_001280834.1
rna7784;XM_005095561.2
rna7785;XM_005095562.2
rna7786;XM_013080937.1
rna7787;XM_005095582.2
rna7788;XM_005095563.2
rna7789;XM_005095564.2
rna7790;XM_005095565.2
rna7791;XM_013080941.1
rna7792;XM_005095566.2
rna7793;XM_013080942.1
rna7794;XM_005095567.2
rna7795;XM_005095583.1
rna7796;XM_005095569.2
rna7797;XM_005095568.2
rna7798;XM_013080935.1
rna7799;XM_013080945.1
rna7800;XM_005095570.2
rna7801;XM_013080946.1
rna7802;XM_013080947.1
rna7803;XM_013080949.1
rna7804;XM_005095571.2
rna7805;XM_013080944.1
rna7806;XM_005095572.2
rna7807;XM_005095573.2
rna7808;XM_013080939.1
rna7809;XM_013080938.1
rna7810;XM_013080950.1
rna7811;XM_013080955.1
rna7812;XM_013080953.1
rna7813;XM_005095586.2
rna7814;XM_013080951.1
rna7815;XM_013080954.1
rna7816;XM_013080952.1
rna7818;XM_013080936.1
rna7819;XM_013080940.1
rna7820;XM_005095589.2
rna7821;XM_005095575.2
rna7822;XM_013080956.1
rna7823;XM_005095591.2
rna7824;XM_013080958.1
rna7825;XM_013080959.1
rna7826;XM_013080957.1
rna7827;XM_005095577.2
rna7828;XM_013080962.1
rna7829;XM_013080960.1
rna7830;XM_005095578.2
rna7831;XM_005095579.2
rna7832;XM_013080963.1
rna7833;XM_005095592.2
rna7834;XM_005095581.2
rna7835;XM_013080964.1
rna7836;XM_013080965.1
rna7837;XM_005095593.2
rna7838;XM_005095594.2
rna7839;XM_005095612.2
rna7840;XM_005095595.2
rna7841;XM_005095596.2
rna7842;XM_005095613.1
rna7843;XM_013080968.1
rna7844;XM_013080966.1
rna7846;XM_013080967.1
rna7847;NM_001204601.1
rna7848;XM_005095597.2
rna7849;XM_005095598.2
rna7850;XM_005095599.2
rna7851;XM_013080970.1
rna7852;XM_005095602.2
rna7853;XM_005095600.2
rna7854;XM_005095603.2
rna7855;XM_005095604.2
rna7856;XM_013080972.1
rna7857;XM_005095605.2
rna7858;XM_013080971.1
rna7859;XM_005095616.2
rna7860;XM_005095606.2
